0	1566654	1306
1	1588277	2651
2	1541535	3863
3	1561761	5223
4	1613553	6751
5	1630372	8192
6	1625657	9538
7	1625207	10907
8	1589750	12013
9	1589503	13357
10	1591389	14722
11	1595423	16115
12	1599010	17512
13	1598726	18871
14	1597694	20223
15	1599714	21617
16	1605271	23068
17	1594735	24285
18	1593786	25640
19	1592068	26984
20	1591317	28344
21	1592439	29739
22	1592301	31115
23	1595759	32566
24	1596011	33957
25	1598967	35411
26	1600708	36844
27	1600557	38238
28	1598740	39593
29	1598150	40978
30	1593049	42245
31	1593216	43649
32	1576761	44587
33	1571902	45835
34	1571851	47223
35	1567426	48477
36	1568396	49897
37	1567891	51273
38	1552233	52142
39	1551020	53483
40	1538821	54436
41	1538732	55808
42	1540222	57242
43	1526139	58088
44	1525912	59451
45	1522753	60698
46	1524670	62150
47	1527603	63650
48	1535066	65350
49	1535151	66745
50	1538391	68283
51	1537932	69662
52	1538443	71087
53	1529833	72086
54	1533861	73678
55	1536291	75203
56	1536504	76623
57	1538761	78150
58	1529066	79066
59	1523226	80169
60	1521250	81471
61	1520676	82848
62	1522219	84344
63	1522670	85784
64	1524635	87313
65	1526515	88844
66	1522644	90041
67	1520610	91344
68	1519084	92676
69	1517654	94013
70	1512410	95111
71	1512543	96545
72	1511548	97908
73	1510071	99240
74	1505328	100355
75	1505086	101767
76	1503682	103101
77	1503944	104552
78	1497259	105516
79	1496976	106926
80	1498928	108501
81	1501325	110115
82	1501949	111604
83	1501353	113005
84	1502231	114519
85	1498790	115705
86	1499343	117199
87	1498948	118621
88	1498508	120042
89	1497644	121430
90	1496561	122801
91	1496416	124251
92	1495219	125614
93	1494761	127041
94	1492423	128307
95	1491692	129712
96	1490362	131065
97	1490066	132510
98	1489618	133943
99	1486095	135099
100	1484055	136387
101	1483951	137853
102	1482901	139233
103	1482724	140696
104	1482070	142116
105	1482269	143620
106	1481445	145027
107	1480244	146397
108	1478988	147763
109	1477630	149118
110	1477526	150601
111	1477337	152078
112	1475261	153362
113	1474065	154736
114	1472766	156099
115	1467925	157084
116	1465387	158310
117	1463899	159648
118	1462917	161042
119	1461605	162400
120	1460713	163805
121	1459619	165188
122	1458499	166569
123	1458364	168064
124	1457474	169473
125	1454135	170596
126	1452827	171956
127	1451404	173302
128	1450079	174659
129	1448895	176034
130	1448177	177466
131	1448096	178978
132	1446679	180326
133	1447192	181917
134	1446376	183343
135	1445209	184725
136	1444506	186168
137	1444099	187651
138	1443467	189106
139	1440551	190261
140	1439697	191687
141	1439410	193191
142	1438135	194563
143	1434906	195669
144	1433581	197032
145	1432722	198460
146	1430598	199713
147	1429390	201092
148	1428209	202476
149	1426832	203833
150	1425906	205254
151	1423709	206492
152	1422680	207898
153	1421399	209269
154	1420124	210640
155	1418839	212010
156	1417955	213441
157	1416745	214823
158	1415563	216209
159	1414418	217602
160	1413392	219014
161	1410476	220132
162	1409141	221494
163	1407654	222833
164	1406273	224188
165	1404842	225535
166	1403493	226895
167	1402153	228257
168	1400651	229592
169	1399309	230953
170	1396432	232060
171	1395237	233444
172	1394019	234825
173	1392991	236238
174	1390895	237470
175	1389658	238847
176	1386765	239938
177	1385450	241301
178	1383995	242639
179	1382555	243980
180	1381388	245369
181	1380678	246840
182	1379372	248205
183	1378140	249584
184	1377025	250984
185	1376150	252429
186	1375050	253834
187	1374770	255392
188	1374770	257004
189	1374162	258505
190	1374220	260134
191	1373887	261692
192	1373976	263334
193	1373382	264847
194	1372399	266286
195	1371280	267700
196	1369890	269061
197	1367830	270289
198	1366010	271564
199	1365260	273052
200	1364870	274613
201	1363383	275955
202	1362286	277376
203	1361523	278866
204	1360234	280249
205	1358813	281605
206	1357443	282971
207	1356268	284378
208	1355034	285774
209	1353946	287200
210	1352846	288625
211	1351846	290072
212	1350648	291477
213	1349389	292869
214	1348549	294353
215	1347396	295769
216	1346929	297338
217	1346507	298919
218	1345956	300473
219	1345290	302004
220	1345095	303642
221	1344761	305252
222	1344041	306777
223	1342892	308204
