iter	AUC
161	0.6367522109
162	0.6367628815
163	0.6367423144
164	0.6368865004
165	0.6369469713
166	0.6370348526
167	0.6370985967
168	0.6371802729
169	0.6372201352
170	0.6372341652
171	0.6373022594
172	0.6374593905
173	0.6375021764
174	0.6375000428
175	0.6375323852
176	0.6375272177
177	0.6376498383
178	0.6377500655
179	0.6377866924
180	0.6378601467
181	0.6380522081
182	0.6380642181
183	0.6381919672
184	0.638269856
185	0.6383197567
186	0.6384364335
187	0.6384961714
188	0.6384994741
189	0.6386136527
190	0.6387572477
191	0.6389183422
192	0.6390575922
193	0.6391251144
194	0.6392511212
195	0.6393073766
196	0.6393350053
197	0.6393514958
198	0.6393621041
199	0.6393877148
200	0.6394523597
201	0.6394558634
202	0.6395121723
203	0.6395503876
204	0.6396309695
205	0.639732052
206	0.6397559068
207	0.6397897412
208	0.639858137
209	0.6398963639
210	0.6399596456
211	0.6401465697
212	0.6402304081
213	0.6403335221
214	0.6404036689
215	0.6404095889
216	0.6404358905
217	0.6405015093
218	0.6405672405
219	0.6406105594
220	0.6406941487
221	0.6407406748
222	0.6407980014
223	0.6408443199
224	0.6409701593
225	0.6410277283
226	0.6410680963
227	0.6410577403
228	0.6410457825
229	0.6411367045
230	0.6411778752
231	0.6412367484
232	0.6413029577
233	0.6414882853
234	0.641573325
235	0.6415971692
236	0.6416260159
237	0.6416971537
238	0.6417274856
239	0.6417831045
240	0.6418413992
241	0.6418821693
242	0.6419473627
243	0.6419965799
244	0.6421696073
245	0.6422871351
246	0.6423484302
247	0.6424254647
248	0.6424892634
249	0.6425008674
250	0.6425242103
251	0.642582783
252	0.6426626585
253	0.6427968859
254	0.6428768001
255	0.6429267843
256	0.6429434307
257	0.6429820226
258	0.6430315072
259	0.6430776685
260	0.6431496501
261	0.6432437773
262	0.643301091
263	0.6433587611
264	0.6434508595
265	0.6434973064
266	0.6435511191
267	0.6435874861
268	0.6436409311
269	0.6437162088
270	0.6437762956
271	0.6438417716
272	0.6438735643
273	0.6439105887
274	0.6439527546
275	0.644040077
276	0.6441513617
277	0.6442441702
278	0.6444266881
279	0.64447966
280	0.6445349664
281	0.6446346766
282	0.6446560858
283	0.6446914914
284	0.644789279
285	0.6448663319
286	0.6448819827
287	0.6449156428
288	0.6449955847
289	0.6450716631
290	0.6451659642
291	0.6452540259
292	0.6454194692
293	0.6454871039
294	0.6454907678
295	0.6455590102
296	0.6456197103
297	0.645703464
298	0.6457955361
299	0.6458575621
300	0.645968276
301	0.6459749718
302	0.6460047777
303	0.6460537554
304	0.6460859664
305	0.6461689604
306	0.6462062009
307	0.6462842782
308	0.6463164485
309	0.6464367078
310	0.646460801
311	0.6465032898
312	0.6465720451
313	0.6466215143
314	0.6466757157
315	0.6467100695
316	0.6467984175
317	0.646890929
318	0.6469404573
319	0.6470294885
320	0.6470653886
321	0.6471009294
322	0.6471612757
323	0.6472489397
324	0.6472808016
325	0.6473153171
326	0.647364794
327	0.6473902534
328	0.6474230833
329	0.6474790472
330	0.6475127809
331	0.6475723286
332	0.6476150345
333	0.6476709564
334	0.6476784302
335	0.6476916147
336	0.6477152164
337	0.6478281367
338	0.6478669206
339	0.6479680687
340	0.6480190851
341	0.6480553368
342	0.6481014489
343	0.6481301343
344	0.6481728429
345	0.6482242648
346	0.6482997241
347	0.6483542765
348	0.6483914517
349	0.6484121873
350	0.6484359199
351	0.6484650814
352	0.6485128812
353	0.6485992367
354	0.6486297638
355	0.6486828469
356	0.6487424911
357	0.6487748035
358	0.6488065929
359	0.6488541332
360	0.6489200806
361	0.6490178178
362	0.6490783263
