msid	tstamp	latgps	latgpsutm	lnggps	lnggpsutm	lnglac	lnglacutm	latlac	latlacutm	cellid	lac	mnc
1	20170420092903	31.283443	3461974.0978	121.50913600000001	358088.3703	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093003	31.283443	3461974.0978	121.50913600000001	358088.3703	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093103	31.283128	3461939.2864	121.509054	358080.0921	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093203	31.283443	3461974.0978	121.50913600000001	358088.3703	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093303	31.283443	3461974.0978	121.50913600000001	358088.3703	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093403	31.283443	3461974.0978	121.50913600000001	358088.3703	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093503	31.2831666	3461943.5439999998	121.50907038	358081.7093	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093603	31.28410814	3462049.4857	121.50784722	357966.6789	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093703	31.283102000000003	3461940.2759	121.50604799999999	357793.8884	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093803	31.28435898	3462084.9904	121.50187974	357398.971	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420093941	31.28442171	3462093.4613	121.50070654	357287.3807	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420094041	31.284606	3462111.9502	121.502206	357430.4016	121.50608063	357794.2777	31.28129196	3461739.5954	8858379	6266	1.0
1	20170420094141	31.285333	3462195.7253	121.49974099999999	357196.8383	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420094241	31.285431	3462206.2518	121.500001	357221.737	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420094402	31.284858000000003	3462141.4951	121.50096	357312.1664	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420094502	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420094602	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420094702	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420094802	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420094902	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095003	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095111	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
